Date,Type,Sub Type,Action,Symbol,Instrument Type,Description,Value,Quantity,Average Price,Commissions,Fees,Multiplier,Root Symbol,Underlying Symbol,Expiration Date,Strike Price,Call or Put,Order #,Total,Currency
2025-05-22T17:04:11+0300,Trade,Sell to Close,SELL_TO_CLOSE,FETH,Equity,Sold 1 FETH @ 26.56,26.56,1,26.56,0.00,0.00,,,,,,,385491221,26.56,USD
2025-05-22T16:59:36+0300,Trade,Sell to Close,SELL_TO_CLOSE,FETH,Equity,Sold 1 FETH @ 26.46,26.46,1,26.46,0.00,0.00,,,,,,,385490009,26.46,USD
2025-05-22T16:35:54+0300,Trade,Buy to Close,BUY_TO_CLOSE,IBIT  250620P00063000,Equity Option,Bought 1 IBIT 06/20/25 Put 63.00 @ 3.11,-311.00,1,-311.00,0.00,-0.13,100,IBIT,IBIT,6/20/25,63.0,PUT,385464232,-311.13,USD
2025-05-22T16:35:54+0300,Trade,Sell to Close,SELL_TO_CLOSE,IBIT  250620P00056000,Equity Option,Sold 1 IBIT 06/20/25 Put 56.00 @ 0.78,78.00,1,78.00,0.00,-0.13,100,IBIT,IBIT,6/20/25,56.0,PUT,385464232,77.87,USD
2025-05-21T23:15:00+0300,Receive Deliver,Expiration,BUY_TO_CLOSE,SPY   250521P00485000,Equity Option,Removal of 1.0 SPY 05/21/25 Put 485.00 due to expiration.,0.00,1,0.00,--,0.00,100,SPY,SPY,5/21/25,485.0,PUT,,0.00,USD
2025-05-21T23:15:00+0300,Receive Deliver,Expiration,SELL_TO_CLOSE,SPY   250521P00525000,Equity Option,Removal of 1.0 SPY 05/21/25 Put 525.00 due to expiration.,0.00,1,0.00,--,0.00,100,SPY,SPY,5/21/25,525.0,PUT,,0.00,USD
2025-05-21T20:25:38+0300,Trade,Sell to Open,SELL_TO_OPEN,TSLA  250620P00340000,Equity Option,Sold 1 TSLA 06/20/25 Put 340.00 @ 23.68,"2,368.00",1,"2,368.00",-1.00,-0.13,100,TSLA,TSLA,6/20/25,340.0,PUT,385325352,"2,366.87",USD
2025-05-21T20:25:38+0300,Trade,Buy to Open,BUY_TO_OPEN,TSLA  250620P00337500,Equity Option,Bought 1 TSLA 06/20/25 Put 337.50 @ 22.35,"-2,235.00",1,"-2,235.00",-1.00,-0.13,100,TSLA,TSLA,6/20/25,337.5,PUT,385325352,"-2,236.13",USD
2025-05-21T16:59:32+0300,Trade,Sell to Open,SELL_TO_OPEN,TGT   250620C00095000,Equity Option,Sold 1 TGT 06/20/25 Call 95.00 @ 2.56,256.00,1,256.00,-1.00,-0.13,100,TGT,TGT,6/20/25,95.0,CALL,385206006,254.87,USD
2025-05-21T16:59:32+0300,Trade,Buy to Open,BUY_TO_OPEN,TGT   250620C00092000,Equity Option,Bought 1 TGT 06/20/25 Call 92.00 @ 3.89,-389.00,1,-389.00,-1.00,-0.13,100,TGT,TGT,6/20/25,92.0,CALL,385206006,-390.13,USD
